Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
X,Temporary Fencing,04/10/2020 02:15:16 PM,Exercise Equipment,X039-ZN01,Pelham Bay Park,X039,Aileen Ryan Rec. Complex,COVID-19 Closure,POINT (-73.82354955599097 40.848386686650926),"12,344",44,5,12,28
X,Partially Locked,04/20/2020 12:02:40 PM,Exercise Equipment,X122,Colucci Playground,X122,Colucci Playground,COVID-19 Closure,POINT (-73.83458247992017 40.8527786197788),"11,270",43,5,12,28
B,Completely Locked,04/10/2020 04:48:06 PM,Exercise Equipment,B337,Century Playground,B337,Century Playground,COVID-19 Closure,POINT (-73.97039455950755 40.577017897150675),"18,184",21,2,15,35
B,Completely Locked,04/10/2020 11:36:56 AM,Exercise Equipment,B167,La Guardia Playground,B167,La Guardia Playground,COVID-19 Closure,POINT (-73.95974822474739 40.71045464988789),"17,613",36,2,30,56
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R109,CPL. Thompson Park,R109,CPL. Thompson Park,Active,POINT (-74.11885101101721 40.638064075849634),"10,697",4,1,13,74
Q,Temporary Fencing,04/11/2020 06:23:14 PM,Exercise Equipment,Q020-01,Highland Park,Q020,Lower Highland Playground,COVID-19 Closure,POINT (-73.88573854218654 40.68396081226198),"17,215",45,2,37,47
B,Completely Locked,04/10/2020 12:26:31 PM,Exercise Equipment,B266,Star Spangled Playground,B266,Star Spangled Playground,COVID-19 Closure,POINT (-73.95795318223661 40.69189603258584),"17,212",69,2,38,51
M,Blocked with Barricade,04/10/2020 11:46:54 AM,Exercise Equipment,M071-34,Riverside Park,M071,Tot Lot One Hundred Five,COVID-19 Closure,POINT (-73.97095004711657 40.80175743965775),"12,421",20,4,19,15
X,Temporary Fencing,04/10/2020 02:22:08 PM,Exercise Equipment,X136-01,Harris Park,X136,Harris Playground,COVID-19 Closure,POINT (-73.89239092602459 40.87512695638039),"11,606",24,5,40,34
X,Completely Locked,04/10/2020 02:15:47 PM,Exercise Equipment,X253,Ambrosini Field,X253,Ambrosini Field,COVID-19 Closure,POINT (-73.78339296334069 40.84450088586157),"11,273",43,5,12,28
Q,Blocked with Barricade,04/11/2020 07:29:31 PM,Exercise Equipment,Q364,Marie Curie Playground,Q364,Marie Curie Playground,COVID-19 Closure,POINT (-73.77177875021114 40.75693569665498),"14,196",26,3,20,69
Q,Temporary Fencing,04/11/2020 07:31:40 PM,Exercise Equipment,Q005-05,Baisley Pond Park,Q005,157 St Playground,COVID-19 Closure,POINT (-73.7860883963776 40.68408743516865),"24,669",41,3,46,71
R,Completely Locked,04/09/2020 03:20:54 PM,Exercise Equipment,R068,The Big Park,R068,The Big Park,COVID-19 Closure,POINT (-74.16451275113033 40.630809575715524),"10,371",4,1,13,75
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B061,McLaughlin Park,B061,McLaughlin Park,Active,POINT (-73.98604714243562 40.696514825066025),"16,865",68,2,38,54
Q,Completely Locked,04/11/2020 05:39:42 PM,Exercise Equipment,Q298,Paul Raimonda Playground,Q298,Paul Raimonda Playground,COVID-19 Closure,POINT (-73.89744608049097 40.77280249419432),"16,862",39,3,4,72
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B054-ZN01,Lincoln Terrace / Arthur S. Somers Park,B054,Lincoln Terr Pk/Arthur S Somers Zone 1,Active,POINT (-73.92734465085397 40.66591177111679),"17,615",16,2,17,49
M,Blocked with Barricade,04/10/2020 11:59:36 AM,Exercise Equipment,M010-ZN28,Central Park,M010,Ross Pinetum,COVID-19 Closure,POINT (-73.96808279850276 40.78294918685494),,19,4,19,13
X,Temporary Fencing,04/10/2020 10:04:46 AM,Exercise Equipment,X045-ZN01,St. Mary's Park,X045,St Mary's Park Zone 1,COVID-19 Closure,POINT (-73.91119885443668 40.810274763845875),"10,933",49,5,35,23
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B274,Bayview Playground,B274,Bayview Playground,Active,POINT (-73.88690984970518 40.63491240831661),"13,827",5,2,8,42
M,Completely Locked,04/10/2020 02:13:47 PM,Exercise Equipment,M041,Alexander Hamilton Playground,M041,Alexander Hamilton Playground,COVID-19 Closure,POINT (-73.95128561178713 40.823079155068555),"12,428",37,4,23,19
X,Completely Locked,04/10/2020 10:28:53 AM,Exercise Equipment,X108,Belmont Playground,X108,Belmont Playground,COVID-19 Closure,POINT (-73.8876937082305 40.85028784349431),"10,935",35,5,22,31
X,Blocked with Barricade,04/10/2020 02:20:41 PM,Exercise Equipment,X002-05A,Bronx Park,X002,Waring Plgd,COVID-19 Closure,POINT (-73.87145330242687 40.8604898319416),"11,607",28,5,22,32
B,Completely Locked,04/10/2020 03:58:01 PM,Exercise Equipment,B150,Kolbert Playground,B150,Kolbert Playground,COVID-19 Closure,POINT (-73.95800759867898 40.620075588722564),"13,513",60,2,18,43
B,Completely Locked,04/10/2020 01:00:51 PM,Exercise Equipment,B193,Hamilton Metz Field,B193,Hamilton Metz Field,COVID-19 Closure,POINT (-73.94096520005297 40.6625664067098),"16,866",17,2,17,44
