place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1600,Rodney Park Center,N/A,Handball,4,0,Asphalt
1601,Rodney Park Center,N/A,Handball,2,0,Asphalt
1602,Queensbridge Park,"Queensbridge ""Baby"" Park",Handball,6,0,Asphalt
1603,Queensbridge Park,"Queensbridge ""Baby"" Park",Handball,5,0,Asphalt
1604,Queensbridge Park,"Queensbridge ""Baby"" Park",Handball,3,0,Asphalt
1605,Queensbridge Park,"Queensbridge ""Baby"" Park",Handball,1,0,Asphalt
1606,Crotona Park,Hill & Dale Playground,Handball,13,0,Concrete
1607,Crotona Park,Hill & Dale Playground,Handball,20,0,Concrete
1608,Crotona Park,Hill & Dale Playground,Handball,18,0,Concrete
1609,Crotona Park,Hill & Dale Playground,Handball,19,0,Concrete
1610,Soundview Park,Soundview Park,Handball,6,0,Asphalt
1611,Riverside Park,Skate Park And Basketball Courts,Handball,4,0,Asphalt
1612,Riverside Park,Skate Park And Basketball Courts,Handball,3,0,Asphalt
1613,Franklin D. Roosevelt Boardwalk and Beach,Midland Playground,Handball,7,1,Asphalt
1614,Franklin D. Roosevelt Boardwalk and Beach,Midland Beach Playground,Handball,3,1,Asphalt
1615,Franklin D. Roosevelt Boardwalk and Beach,Midland Beach Playground,Handball,2,1,Asphalt
1616,Franklin D. Roosevelt Boardwalk and Beach,Midland Playground,Handball,6,1,Asphalt
1617,Sunset Park,Sunset Park Playground,Handball,2,0,Asphalt
1618,Breukelen Ballfields,Breukelen Plgd,Handball,4,0,Asphalt
1619,Breukelen Ballfields,Breukelen Plgd,Handball,1,0,Asphalt
1620,Breukelen Ballfields,Breukelen Plgd,Handball,2,0,Asphalt
1621,Breukelen Ballfields,Breukelen Plgd,Handball,6,0,Asphalt
1622,Thomas Jefferson Park,Thomas Jefferson Park Playground,Handball,4,0,Asphalt
1623,Thomas Jefferson Park,Thomas Jefferson Park Playground,Handball,8,0,Asphalt
