name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Saratoga Park,pg,B,2020-05-21 11:05:51,40.68492754140526,-73.91945241952247,COVID-19 Closure,Partially Locked
Dimattina Playground,pg,B,2020-05-21 11:06:13,40.68067240893318,-74.0019586865852,COVID-19 Closure,Completely Locked
Gerard P. Dugan Playground,pg,R,2020-05-21 11:09:17,40.561870488543725,-74.11141881136726,COVID-19 Closure,Completely Locked
Clove Lakes Park Plgd,pg,R,2020-05-21 11:09:14,40.618516259027594,-74.10601678178902,COVID-19 Closure,Completely Locked
Murray Hill Playground,pg,Q,2020-05-21 11:09:10,40.761493321030855,-73.81181034154777,COVID-19 Closure,Partially Locked
DeKovats Playground,pg,M,2020-05-21 11:07:54,40.77943233524202,-73.94413860589499,COVID-19 Closure,Partially Locked
"""Uncle"" Vito F. Maranzano Glendale Playground",pg,Q,2020-05-21 11:08:38,40.70469379501874,-73.88172968853043,COVID-19 Closure,Completely Locked
Mercer Playground,pg,M,2020-05-21 11:10:25,40.72758662037959,-73.99623838403843,COVID-19 Closure,Completely Locked
Bridge Playground,pg,X,2020-05-21 11:10:28,40.84431258099142,-73.92412118457847,COVID-19 Closure,Not Lockable
Washington Square Park,pg,M,2020-05-21 11:07:26,40.730768720507385,-73.9966432313342,COVID-19 Closure,Completely Locked
Tottenville Pool,pg,R,2020-05-21 11:09:28,40.50567017428926,-74.23587801945042,COVID-19 Closure,Completely Locked
Emerald Playground,pg,Q,2020-05-21 11:08:52,40.730732919560374,-73.80600851773762,COVID-19 Closure,Partially Locked
Mohegan Triangle,pg,X,2020-05-21 11:10:16,40.84424426631618,-73.88477065669697,COVID-19 Closure,Completely Locked
Corlears Hook Park,pg,M,2020-05-21 04:43:40,40.71142093345,-73.97940199593296,COVID-19 Closure,Partially Locked
Beach at B 6 St,pg,B,2020-05-21 11:10:34,40.574897171203865,-73.96097181236343,COVID-19 Closure,Completely Locked
Dry Dock Playground,pg,M,2020-05-21 11:07:52,40.725601422821526,-73.97540213966661,COVID-19 Closure,Completely Locked
Van Cortlandt Classic Plgd,pg,X,2020-05-21 11:09:44,40.885210581173624,-73.89038886968163,COVID-19 Closure,Completely Locked
Lily Brown Playground,pg,M,2020-05-21 11:07:09,40.83886143076844,-73.94613870402596,COVID-19 Closure,Completely Locked
100% Playground,pg,B,2020-05-21 11:06:50,40.64681791074553,-73.89938091179671,COVID-19 Closure,Completely Locked
Hull Triangle,pg,Q,2020-05-21 11:08:56,40.72541920402693,-73.90147376457578,COVID-19 Closure,Completely Locked
Lefferts Playground,pg,Q,2020-05-21 11:08:17,40.665473306226495,-73.821304148219,COVID-19 Closure,Completely Locked
Matthews Muliner Playground,pg,X,2020-05-21 11:10:02,40.847022155975885,-73.86156191742903,COVID-19 Closure,Completely Locked
Sol Lain Plgd,pg,M,2020-05-21 11:07:46,40.71412703257847,-73.98413844911565,COVID-19 Closure,Completely Locked
Col. Young Playground,pg,M,2020-05-21 11:07:36,40.81941291766271,-73.93641694511166,COVID-19 Closure,Partially Locked
Jesse Owens Playground,pg,B,2020-05-21 11:06:30,40.6918290566779,-73.93213627502202,COVID-19 Closure,Completely Locked
Homecrest Playground,pg,B,2020-05-21 11:06:05,40.58648701553224,-73.95754081736746,COVID-19 Closure,Completely Locked
Payson Plgd,pg,M,2020-05-21 11:07:13,40.86717442535105,-73.92871138133974,COVID-19 Closure,Completely Locked
Adventure Playground,pg,M,2020-05-21 11:07:03,40.77327447038719,-73.97752128283793,COVID-19 Closure,Completely Locked
DiGilio Playground,pg,B,2020-05-21 11:06:44,40.632912293151854,-73.977267648536,COVID-19 Closure,Completely Locked
Ericsson Playground,pg,B,2020-05-21 11:10:21,40.72052284563283,-73.94843405310336,COVID-19 Closure,Completely Locked
Rosemary's Playground,pg,Q,2020-05-21 11:09:04,40.704352162266346,-73.90422986323608,COVID-19 Closure,Completely Locked
Thomas Greene Playground,pg,B,2020-05-21 01:10:13,40.680216518338575,-73.98477659063772,COVID-19 Closure,Completely Locked
Freedom Square Playground,pg,Q,2020-05-21 11:08:59,40.72317338225227,-73.82023746915814,COVID-19 Closure,Completely Locked
Pulaski Park,pg,X,2020-05-21 11:09:41,40.80500512520375,-73.92395816736641,COVID-19 Closure,Partially Locked
Calvert Vaux Park Playground,pg,B,2020-05-21 11:05:56,40.587878229135235,-73.99063163599682,COVID-19 Closure,Completely Locked
Rockaway Blvd Playground,pg,Q,2020-05-21 11:08:00,40.672634712833506,-73.78770861906663,COVID-19 Closure,Not Lockable
Breininger Park,pg,Q,2020-05-21 11:08:31,40.726342737695056,-73.72901207063231,COVID-19 Closure,Not Lockable
Harris Playground,pg,X,2020-05-21 11:09:52,40.87507751176841,-73.89229182740533,COVID-19 Closure,Partially Locked
Greene Playground,pg,B,2020-05-21 11:06:37,40.686363214467626,-73.96576227442777,COVID-19 Closure,Completely Locked
Galapo Playground,pg,B,2020-05-21 11:06:07,40.59797611736224,-73.94676716908707,COVID-19 Closure,Completely Locked
Vernon Playground,pg,Q,2020-05-21 11:08:23,40.75708598666196,-73.94696057990416,COVID-19 Closure,Completely Locked
Playground of the Americas,pg,M,2020-05-21 11:07:30,40.72799147943754,-74.00273182209905,COVID-19 Closure,Completely Locked
Thomas J. Cuite Park,pg,B,2020-05-21 11:06:24,40.654349007841006,-73.97874089051851,COVID-19 Closure,Completely Locked
Brust Park,pg,X,2020-05-21 11:09:43,40.889943181518575,-73.90513359900662,COVID-19 Closure,Not Lockable
Canarsie Playground,pg,B,2020-05-21 01:15:38,40.62674944756477,-73.89951738597661,COVID-19 Closure,Completely Locked
Travers Park,pg,Q,2020-05-21 11:08:44,40.754295682039576,-73.88925236886888,COVID-19 Closure,Partially Locked
Sheepshead Playground,pg,B,2020-05-21 11:06:19,40.588950813890285,-73.94004809063274,COVID-19 Closure,Completely Locked
