name,type,borough,editdate,latitude,longitude,status,closuretype
Tennis-08,af,B,2020-04-07 10:58:00,40.60842850228821,-73.93540641560283,COVID-19 Closure,Temporary Fencing
Tennis-03,af,B,2020-04-07 10:58:00,40.60901740735407,-73.93583480820017,COVID-19 Closure,Temporary Fencing
Tennis-15,af,B,2020-04-07 10:58:00,40.60800589806999,-73.93471758844228,COVID-19 Closure,Temporary Fencing
Tennis-12,af,B,2020-04-07 10:58:00,40.60825380614647,-73.93499533800569,COVID-19 Closure,Temporary Fencing
Tennis-10,af,B,2020-04-07 10:58:00,40.6080894599506,-73.93525271559137,COVID-19 Closure,Temporary Fencing
Tennis-11,af,B,2020-04-07 10:58:00,40.608169676575045,-73.93512708988423,COVID-19 Closure,Temporary Fencing
Tennis-09,af,B,2020-04-07 10:58:00,40.60851263271729,-73.9352746623834,COVID-19 Closure,Temporary Fencing
Tennis-09,af,M,2020-04-06 16:38:00,40.86970404487872,-73.92163145117038,COVID-19 Closure,Fully Locked
Tennis-08,af,M,2020-04-06 16:38:00,40.86978748814175,-73.92180055716071,COVID-19 Closure,Fully Locked
Tennis-03,af,M,2020-04-06 16:38:00,40.86990365615903,-73.92134173955766,COVID-19 Closure,Fully Locked
Tennis-07,af,M,2020-04-06 16:38:00,40.86987818897578,-73.92191410770988,COVID-19 Closure,Fully Locked
Tennis-04,af,M,2020-04-06 16:38:00,40.87015748316809,-73.92224992787398,COVID-19 Closure,Fully Locked
Tennis-05,af,B,2020-04-05 17:13:00,40.57857533380962,-73.99416608426388,COVID-19 Closure,Fully Locked
Tennis-06,af,B,2020-04-05 17:13:00,40.578591394392866,-73.99400354314409,COVID-19 Closure,Fully Locked
Tennis-10,af,B,2020-04-05 19:26:00,40.6664529471678,-73.92514936421345,COVID-19 Closure,Fully Locked
Tennis-03,af,B,2020-04-05 19:26:00,40.66716350421515,-73.92509115077415,COVID-19 Closure,Fully Locked
Tennis-11,af,B,2020-04-05 19:26:00,40.66644603633286,-73.92500790625014,COVID-19 Closure,Fully Locked
Tennis-04,af,B,2020-04-05 19:26:00,40.66687721579152,-73.92542725381855,COVID-19 Closure,Fully Locked
Tennis-06,af,B,2020-04-10 10:41:00,40.69040898458403,-73.97508760564752,COVID-19 Closure,Fully Locked
Tennis-01,af,B,2020-04-10 10:41:00,40.69067788770072,-73.9758804678696,COVID-19 Closure,Fully Locked
Tennis-02,af,B,2020-04-10 10:41:00,40.690623986843036,-73.97572153767629,COVID-19 Closure,Fully Locked
Paul Hecht-Tennis-09,af,X,2020-04-07 13:46:00,40.89089918419533,-73.89236873245986,COVID-19 Closure,Fully Locked
Paul Hecht-Tennis-12,af,X,2020-04-07 13:46:00,40.89084703439364,-73.89290958497548,COVID-19 Closure,Fully Locked
Indian Field-Tennis-01,af,X,2020-04-07 13:45:00,40.89600218565789,-73.87926355167681,COVID-19 Closure,Fully Locked
Indian Field-Tennis-02,af,X,2020-04-07 13:45:00,40.89600257579127,-73.87942504990791,COVID-19 Closure,Fully Locked
Indian Field-Tennis-05,af,X,2020-04-07 13:45:00,40.895674352930975,-73.8794245169813,COVID-19 Closure,Fully Locked
Tennis-07,af,X,2020-04-15 10:30:00,40.84022943505633,-73.89476751050407,COVID-19 Closure,Fully Locked
Tennis-18,af,X,2020-04-15 10:25:00,40.83942640878574,-73.89504737314172,COVID-19 Closure,Fully Locked
Tennis-13,af,X,2020-04-15 10:25:00,40.8397918674542,-73.89482855000179,COVID-19 Closure,Fully Locked
Tennis-04,af,X,2020-04-15 10:29:00,40.8404295447644,-73.89429086510059,COVID-19 Closure,Fully Locked
Tennis-14,af,X,2020-04-15 10:25:00,40.83974014033817,-73.89467751227029,COVID-19 Closure,Fully Locked
Tennis-20,af,X,2020-04-15 10:26:00,40.839290345356595,-73.89479427947771,COVID-19 Closure,Fully Locked
Tennis-15,af,X,2020-04-15 10:25:00,40.839656687859495,-73.8945740994483,COVID-19 Closure,Fully Locked
Tennis-06,af,X,2020-04-15 10:29:00,40.84028027680231,-73.89491571340353,COVID-19 Closure,Fully Locked
Tennis-11,af,X,2020-04-15 10:25:00,40.839897637747214,-73.89513107237465,COVID-19 Closure,Fully Locked
Tennis-03,af,Q,2020-04-06 18:27:00,40.69757714477222,-73.85573601711661,COVID-19 Closure,Fully Locked
Tennis-12,af,Q,2020-04-06 18:27:00,40.69725402311646,-73.85747713282464,COVID-19 Closure,Fully Locked
Tennis-09,af,Q,2020-04-06 18:27:00,40.697349150675784,-73.85697233718737,COVID-19 Closure,Fully Locked
Tennis-04,af,Q,2020-04-06 18:27:00,40.697545552624135,-73.8559036748577,COVID-19 Closure,Fully Locked
Tennis-10,af,Q,2020-04-06 18:27:00,40.69731787359605,-73.85713946941894,COVID-19 Closure,Fully Locked
Tennis-11,af,Q,2020-04-06 18:27:00,40.697286279042004,-73.85730712560712,COVID-19 Closure,Fully Locked
Tennis-02,af,Q,2020-04-06 18:27:00,40.697608420173374,-73.85556888381255,COVID-19 Closure,Fully Locked
Tennis-06,af,Q,2020-04-06 18:27:00,40.66143977189903,-73.74427364000167,COVID-19 Closure,Fully Locked
Tennis-03,af,Q,2020-04-06 18:27:00,40.66182969161196,-73.74448302632413,COVID-19 Closure,Fully Locked
Tennis-05,af,Q,2020-04-06 18:27:00,40.66154860241577,-73.74433550828911,COVID-19 Closure,Fully Locked
Tennis-18,af,Q,2020-04-06 18:27:00,40.72922444201997,-73.77274653036356,COVID-19 Closure,Fully Locked
Tennis-02,af,Q,2020-04-06 18:27:00,40.748073553440406,-73.80999620687896,COVID-19 Closure,Fully Locked
Tennis-09,af,Q,2020-04-06 18:27:00,40.7757963323532,-73.92445597614876,COVID-19 Closure,Fully Locked
Tennis-02,af,Q,2020-04-06 18:27:00,40.775194207495005,-73.92399753394196,COVID-19 Closure,Fully Locked
Tennis-10,af,Q,2020-04-06 18:27:00,40.77573704780124,-73.9245940923702,COVID-19 Closure,Fully Locked
Tennis-04,af,Q,2020-04-06 18:27:00,40.775574139946606,-73.92409917243447,COVID-19 Closure,Fully Locked
Tennis-07,af,Q,2020-04-06 18:27:00,40.775391243125696,-73.92452527100367,COVID-19 Closure,Fully Locked
Tennis-08,af,Q,2020-04-06 18:27:00,40.775858138790056,-73.92431198350427,COVID-19 Closure,Fully Locked
Tennis-14,af,Q,2020-04-06 18:27:00,40.776019032624454,-73.92482025463492,COVID-19 Closure,Fully Locked
Tennis-13,af,Q,2020-04-06 18:27:00,40.77603989908365,-73.92462154078119,COVID-19 Closure,Fully Locked
Tennis-12,af,Q,2020-04-06 18:27:00,40.77611282180254,-73.92448918733702,COVID-19 Closure,Fully Locked
Tennis-01,af,Q,2020-04-06 18:27:00,40.77525601300442,-73.9238535421744,COVID-19 Closure,Fully Locked
Tennis-04,af,Q,2020-04-06 18:27:00,40.661670129362776,-73.74436727563389,COVID-19 Closure,Fully Locked
Tennis-02,af,Q,2020-04-06 18:27:00,40.66191809723725,-73.74461137921955,COVID-19 Closure,Fully Locked
Tennis-14,af,Q,2020-04-06 18:27:00,40.69719115019392,-73.85781192052693,COVID-19 Closure,Fully Locked
Tennis-05,af,Q,2020-04-06 18:27:00,40.697513298772435,-73.85607368317875,COVID-19 Closure,Fully Locked
Tennis-06,af,Q,2020-04-06 18:27:00,40.69748202299864,-73.85624081647998,COVID-19 Closure,Fully Locked
Tennis-07,af,Q,2020-04-06 18:27:00,40.69745042993444,-73.85640847350645,COVID-19 Closure,Fully Locked
Tennis-13,af,Q,2020-04-06 18:27:00,40.69722274512261,-73.85764426410803,COVID-19 Closure,Fully Locked
Tennis-08,af,Q,2020-04-06 18:27:00,40.697380744741594,-73.85680468044576,COVID-19 Closure,Fully Locked
Tennis-01,af,Q,2020-04-06 18:27:00,40.69764001165344,-73.85540122575513,COVID-19 Closure,Fully Locked
Tennis-26,af,M,2020-04-07 17:53:00,40.790164599341416,-73.96115300376246,COVID-19 Closure,Fully Locked
Tennis-03,af,M,2020-04-07 17:53:00,40.78962458191074,-73.9626708984936,COVID-19 Closure,Fully Locked
Tennis-01,af,M,2020-04-07 17:53:00,40.789538145559945,-73.96297913994043,COVID-19 Closure,Fully Locked
Tennis-08,af,M,2020-04-07 17:53:00,40.78973466956745,-73.9618726044992,COVID-19 Closure,Fully Locked
Tennis-04,af,M,2020-04-07 17:53:00,40.78964569703207,-73.96251054441005,COVID-19 Closure,Fully Locked
Tennis-17,af,M,2020-04-07 17:53:00,40.78996089359515,-73.96258613541251,COVID-19 Closure,Fully Locked
Tennis-10,af,M,2020-04-07 17:53:00,40.78973751768656,-73.96154413558601,COVID-19 Closure,Fully Locked
Tennis-18,af,M,2020-04-07 17:53:00,40.78993982680783,-73.9624163840369,COVID-19 Closure,Fully Locked
Tennis-28,af,M,2020-04-07 17:53:00,40.79027562925209,-73.96268241057732,COVID-19 Closure,Fully Locked
Tennis-03,af,X,2020-04-15 10:29:00,40.84048030656568,-73.89443881588916,COVID-19 Closure,Fully Locked
Tennis-02,af,X,2020-04-15 10:29:00,40.8405319068329,-73.89458610536715,COVID-19 Closure,Fully Locked
Tennis-08,af,X,2020-04-15 10:30:00,40.8401781296464,-73.89461981201742,COVID-19 Closure,Fully Locked
Tennis-01,af,X,2020-04-15 10:28:00,40.840583075906956,-73.894734351683,COVID-19 Closure,Fully Locked
Tennis-10,af,X,2020-04-15 10:30:00,40.84004584175963,-73.89437297921162,COVID-19 Closure,Fully Locked
Tennis-05,af,X,2020-04-15 10:29:00,40.840347720396025,-73.89419176391407,COVID-19 Closure,Fully Locked
Tennis-14,af,M,2020-04-07 17:53:00,40.789895672214776,-73.96306548072846,COVID-19 Closure,Fully Locked
Tennis-12,af,M,2020-04-07 17:53:00,40.789825039982304,-73.96123589095716,COVID-19 Closure,Fully Locked
Indian Field-Tennis-03,af,X,2020-04-07 13:45:00,40.89600196766641,-73.87958764575406,COVID-19 Closure,Fully Locked
Indian Field-Tennis-04,af,X,2020-04-07 13:45:00,40.89567403813198,-73.87926014450959,COVID-19 Closure,Fully Locked
Indian Field-Tennis-06,af,X,2020-04-07 13:45:00,40.895672949294976,-73.8795863990696,COVID-19 Closure,Fully Locked
Tennis-12,af,X,2020-04-15 10:25:00,40.83981390969853,-73.89502758518574,COVID-19 Closure,Fully Locked
Tennis-09,af,X,2020-04-15 10:30:00,40.840127064406225,-73.89447262536751,COVID-19 Closure,Fully Locked
Tennis-17,af,X,2020-04-15 10:25:00,40.83947878677364,-73.89520032266428,COVID-19 Closure,Fully Locked
Paul Hecht-Tennis-10,af,X,2020-04-07 13:46:00,40.89094246441593,-73.89251581419751,COVID-19 Closure,Fully Locked
Paul Hecht-Tennis-13,af,X,2020-04-07 13:46:00,40.890903972006846,-73.89315688382358,COVID-19 Closure,Fully Locked
Paul Hecht-Tennis-11,af,X,2020-04-07 13:46:00,40.890846591940225,-73.8927637521434,COVID-19 Closure,Fully Locked
Paul Hecht-Tennis-14,af,X,2020-04-07 13:46:00,40.890904760792324,-73.89330481962051,COVID-19 Closure,Fully Locked
Tennis-08,af,B,2020-04-05 19:26:00,40.666472493365546,-73.92547998602005,COVID-19 Closure,Fully Locked
Tennis-09,af,B,2020-04-05 19:26:00,40.66646162664999,-73.92530918137967,COVID-19 Closure,Fully Locked
Tennis-02,af,B,2020-04-05 19:26:00,40.66717151221499,-73.92524477973545,COVID-19 Closure,Fully Locked
Tennis-01,af,B,2020-04-05 19:26:00,40.66720473077125,-73.92540945300199,COVID-19 Closure,Fully Locked
Tennis-06,af,B,2020-04-05 19:26:00,40.66685912669495,-73.92510166473038,COVID-19 Closure,Fully Locked
Tennis-07,af,B,2020-04-05 19:26:00,40.66685141550713,-73.92496171679154,COVID-19 Closure,Fully Locked
Tennis-05,af,B,2020-04-05 19:26:00,40.6668682588219,-73.92526145208096,COVID-19 Closure,Fully Locked
Tennis-03,af,B,2020-04-10 10:41:00,40.6905700855854,-73.97556260797656,COVID-19 Closure,Fully Locked
Tennis-05,af,B,2020-04-10 10:41:00,40.69046288685887,-73.97524653434247,COVID-19 Closure,Fully Locked
Tennis-05,af,B,2020-04-10 11:06:00,40.577418851852954,-73.9396543052586,COVID-19 Closure,Fully Locked
Tennis-03,af,X,2020-04-22 12:19:00,40.86973628476928,-73.79183312134144,COVID-19 Closure,Fully Locked
Tennis-06,af,B,2020-04-10 11:06:00,40.577437208629995,-73.93948574516405,COVID-19 Closure,Fully Locked
Tennis-04,af,B,2020-04-10 11:06:00,40.577398954378346,-73.93982077903247,COVID-19 Closure,Fully Locked
Tennis-01,af,B,2020-04-10 11:06:00,40.57768312303303,-73.93987595697125,COVID-19 Closure,Fully Locked
Tennis-06,af,M,2020-04-06 16:38:00,40.869968918560865,-73.92202666446448,COVID-19 Closure,Fully Locked
Tennis-01,af,M,2020-04-06 16:38:00,40.87007780077999,-73.92162439713616,COVID-19 Closure,Fully Locked
Tennis-02,af,M,2020-04-06 16:38:00,40.86998190150557,-73.92151085159074,COVID-19 Closure,Fully Locked
Tennis-05,af,M,2020-04-06 16:38:00,40.87006158469095,-73.92213638176467,COVID-19 Closure,Fully Locked
Tennis-02,af,X,2020-04-22 12:19:00,40.869586219298284,-73.79166293327805,COVID-19 Closure,Fully Locked
Tennis-06,af,B,2020-04-07 10:58:00,40.60876249545057,-73.93554935105544,COVID-19 Closure,Temporary Fencing
Tennis-02,af,B,2020-04-07 10:58:00,40.60893327682722,-73.93596656123671,COVID-19 Closure,Temporary Fencing
Tennis-04,af,B,2020-04-07 10:58:00,40.60859814766243,-73.9358067294751,COVID-19 Closure,Temporary Fencing
Tennis-07,af,B,2020-04-07 10:58:00,40.608348285539996,-73.93553204027967,COVID-19 Closure,Temporary Fencing
Tennis-01,af,B,2020-04-07 10:58:00,40.60885305893092,-73.93609218689983,COVID-19 Closure,Temporary Fencing
Tennis-13,af,B,2020-04-07 10:58:00,40.60784155195206,-73.93497496646543,COVID-19 Closure,Temporary Fencing
Tennis-14,af,B,2020-04-07 10:58:00,40.60792176881551,-73.93484934136315,COVID-19 Closure,Temporary Fencing
Tennis-05,af,B,2020-04-07 10:58:00,40.60867836524904,-73.9356811044213,COVID-19 Closure,Temporary Fencing
Tennis-09,af,M,2020-04-08 13:26:00,40.84875591637167,-73.94633794023574,COVID-19 Closure,Fully Locked
Tennis-05,af,M,2020-04-08 13:26:00,40.84819387369939,-73.94638326325014,COVID-19 Closure,Fully Locked
Tennis-03,af,M,2020-04-08 13:26:00,40.84789102169378,-73.94638651846482,COVID-19 Closure,Fully Locked
Tennis-04,af,M,2020-04-08 13:26:00,40.847830816476076,-73.9462222283632,COVID-19 Closure,Fully Locked
Tennis-20,af,M,2020-04-07 18:03:00,40.79269791295288,-73.91803135444906,COVID-19 Closure,Fully Locked
Tennis-18,af,M,2020-04-07 18:03:00,40.792845849422,-73.91834862672995,COVID-19 Closure,Fully Locked
Tennis-16,af,M,2020-04-07 18:03:00,40.79299378627421,-73.91866589923445,COVID-19 Closure,Fully Locked
Tennis-02,af,M,2020-04-07 18:03:00,40.793248555854355,-73.91968470810386,COVID-19 Closure,Fully Locked
Tennis-05,af,M,2020-04-07 18:03:00,40.793026655452415,-73.91920879335414,COVID-19 Closure,Fully Locked
Tennis-09,af,M,2020-04-07 18:03:00,40.7934182332322,-73.91914764318722,COVID-19 Closure,Fully Locked
